	NK_D_L	NK_D_H	NK_E_L	NK_E_H	NK_F_L	NK_F_H	NK_K_L	NK_K_H	NK_L_L	NK_L_H	NK_M_L	NK_M_H	NK_N_L	NK_N_H
ENSG00000267252	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267253	18	44	30	37	12	35	77	87	37	52	36	64	24	69
ENSG00000267254	320	91	219	177	239	91	269	361	423	339	273	297	457	193
ENSG00000267255	23	32	64	48	32	42	44	20	9	23	18	32	20	25
ENSG00000267257	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267258	1	0	0	4	1	2	0	0	1	0	2	1	4	3
ENSG00000267259	0	0	2	1	1	0	1	2	2	0	0	0	4	1
ENSG00000267260	5	0	6	2	7	2	2	2	0	23	0	14	19	1
ENSG00000267261	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000267262	42	5	25	4	4	3	4	0	0	0	0	4	3	0
ENSG00000267263	0	0	0	0	0	0	0	0	0	0	0	2	1	0
ENSG00000267264	0	14	0	23	3	9	10	6	30	45	0	24	23	14
ENSG00000267265	318	241	252	396	242	282	764	1184	774	1466	1800	1965	2250	1589
ENSG00000267269	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267270	3	15	18	17	2	29	19	18	28	35	53	2	23	5
ENSG00000267271	0	0	0	0	0	9	0	0	4	7	0	0	0	0
ENSG00000267272	0	0	16	0	0	0	2	0	0	0	1	0	0	7
ENSG00000267273	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267274	5	1	7	2	0	0	7	1	0	0	3	6	4	5
ENSG00000267275	192	136	123	87	142	167	159	259	154	232	336	322	282	225
ENSG00000267277	11	13	9	22	4	5	15	29	7	27	4	23	13	12
ENSG00000267278	556	475	741	371	618	517	248	310	380	135	212	342	407	395
ENSG00000267279	0	0	4	0	6	0	0	0	2	0	0	0	0	0
ENSG00000267280	1	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSG00000267281	0	4	2	1	1	4	0	0	0	0	0	0	0	0
ENSG00000267282	8	0	0	0	4	8	3	3	0	11	23	3	4	7
ENSG00000267283	11	4	4	1	4	1	2	4	6	9	1	1	2	2
ENSG00000267284	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267285	2	3	10	1	6	2	0	5	3	2	0	0	2	2
ENSG00000267286	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267287	0	0	0	0	0	11	0	0	0	0	21	0	0	0
ENSG00000267288	78	41	114	46	41	30	61	29	17	100	77	60	104	59
ENSG00000267289	10	5	0	25	0	2	19	22	0	46	50	66	35	9
ENSG00000267291	0	0	2	2	0	0	2	0	0	0	0	0	0	1
ENSG00000267292	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267293	36	22	5	4	2	13	16	23	2	0	0	15	50	29
ENSG00000267295	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267296	0	8	0	0	0	0	14	10	0	30	0	0	0	17
ENSG00000267298	0	0	0	0	0	4	5	12	5	0	0	18	2	0
ENSG00000267299	7	0	6	0	1	1	0	3	0	0	1	7	5	0
ENSG00000267301	1	3	0	0	2	0	0	0	0	6	0	0	2	0
ENSG00000267302	55	76	47	103	74	73	94	134	76	190	137	88	230	130
ENSG00000267303	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267304	1	0	2	0	0	0	0	0	0	0	0	0	2	0
ENSG00000267305	0	0	0	0	0	0	5	0	0	0	0	1	0	3
ENSG00000267308	0	0	12	1	3	3	4	0	0	2	0	0	8	0
ENSG00000267309	78	124	127	61	67	103	143	123	192	166	107	159	134	150
ENSG00000267310	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267311	7	1	0	0	16	1	11	3	2	11	1	9	5	1
ENSG00000267312	115	95	92	100	86	69	83	51	98	12	68	77	139	120
ENSG00000267313	0	0	1	0	2	0	0	0	0	0	18	0	0	0
ENSG00000267314	3	2	8	8	9	4	0	0	0	0	0	0	0	0
ENSG00000267315	3	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSG00000267316	0	0	0	0	8	0	0	0	0	0	0	0	0	0
ENSG00000267317	8	5	0	0	1	15	4	10	11	2	19	4	8	9
ENSG00000267318	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267319	0	1	0	3	1	2	6	2	18	1	14	6	7	5
ENSG00000267320	0	0	0	5	6	0	5	0	0	0	0	0	5	1
ENSG00000267321	612	525	783	599	761	785	1321	1602	1839	2841	2116	1513	2380	1918
ENSG00000267322	1285	793	1154	860	791	1201	599	832	1498	3852	1523	1225	2823	2350
ENSG00000267323	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267324	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000267325	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267327	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267328	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267332	0	0	3	0	0	0	0	0	0	0	1	0	0	1
ENSG00000267333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267334	9	6	17	3	8	0	18	56	38	28	116	85	56	26
ENSG00000267335	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267336	134	106	108	50	98	53	84	39	51	16	52	0	77	42
ENSG00000267337	0	0	20	0	5	0	0	0	0	0	0	0	0	0
ENSG00000267338	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267339	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000267340	17	16	2	9	14	17	63	83	68	158	128	97	88	84
ENSG00000267341	21	1	13	8	35	5	0	1	0	0	2	0	2	0
ENSG00000267342	143	132	112	77	121	118	211	136	161	76	73	172	199	139
ENSG00000267343	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267344	50	92	109	85	37	67	122	71	69	38	31	40	145	72
ENSG00000267345	12	2	3	3	15	3	4	1	7	2	5	10	3	9
ENSG00000267346	5	23	0	13	0	5	8	6	15	6	0	0	8	0
ENSG00000267348	55	64	98	43	61	46	26	25	28	41	47	27	54	62
ENSG00000267349	1	3	0	0	1	0	2	3	0	0	2	0	0	1
ENSG00000267352	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267353	21	1	33	1	16	0	0	0	0	1	0	0	1	0
ENSG00000267354	0	0	0	0	3	2	0	0	0	2	17	0	1	5
ENSG00000267355	1	0	0	0	1	0	2	0	0	0	0	0	2	1
ENSG00000267356	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267359	6	0	0	0	1	0	0	1	1	0	0	2	2	1
ENSG00000267360	7	3	1	0	3	6	0	1	0	0	0	0	12	2
ENSG00000267361	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267363	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000267364	903	572	556	544	504	526	1747	1864	2180	3209	2358	2038	3148	2314
ENSG00000267365	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000267366	4	3	8	6	17	7	0	4	10	9	0	3	8	0
ENSG00000267368	0	0	3	0	1	1	1	0	0	1	1	0	0	0
ENSG00000267369	368	328	251	227	271	271	351	337	361	329	444	408	754	553
ENSG00000267370	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267371	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000267372	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267373	3	3	19	4	5	8	0	0	0	0	4	2	0	2
ENSG00000267374	2	0	0	0	8	4	0	0	0	2	20	0	0	2
ENSG00000267375	20	25	19	14	9	18	12	15	3	22	25	11	21	13
ENSG00000267376	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ENSG00000267378	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267379	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267382	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267383	51	37	57	40	54	78	62	95	75	157	182	129	158	145
ENSG00000267384	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267385	2	1	1	0	1	2	0	0	0	0	0	5	0	0
ENSG00000267387	24	25	20	37	37	12	16	22	7	14	33	5	44	15
ENSG00000267388	0	0	1	0	0	0	0	3	6	0	0	0	0	0
ENSG00000267389	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267390	45	24	25	19	20	20	36	32	24	90	49	43	117	116
ENSG00000267391	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267392	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267393	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267394	20	14	17	7	9	3	23	19	18	29	43	22	18	29
ENSG00000267395	0	3	5	0	5	3	6	2	2	0	5	8	7	4
ENSG00000267396	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267397	10	14	6	54	5	40	0	32	0	8	4	28	42	4
ENSG00000267398	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267399	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267400	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267401	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000267402	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267404	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ENSG00000267405	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267406	0	0	0	2	0	0	4	0	0	0	3	2	9	2
ENSG00000267407	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267408	9	1	2	7	0	9	2	0	0	0	6	0	1	1
ENSG00000267409	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267412	0	1	0	0	0	2	0	0	0	1	2	0	0	0
ENSG00000267413	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000267414	11	37	9	26	5	2	17	22	13	35	10	36	62	69
ENSG00000267415	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267416	0	0	7	0	8	0	3	0	6	0	6	7	4	1
ENSG00000267417	8	3	0	1	0	0	0	0	0	0	0	2	0	1
ENSG00000267418	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000267419	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267420	11	1	0	0	0	0	2	4	2	0	0	0	0	0
ENSG00000267421	18	13	8	20	6	17	21	19	38	58	47	14	34	33
ENSG00000267422	8	12	12	17	6	8	6	1	16	6	10	15	17	8
ENSG00000267423	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000267424	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267425	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267426	0	4	2	3	2	3	0	0	0	0	2	0	1	0
ENSG00000267428	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267429	24	0	18	0	16	0	0	0	0	0	0	0	0	0
ENSG00000267430	36	0	18	30	52	18	27	0	16	18	29	70	33	19
ENSG00000267432	21	10	30	7	29	23	7	5	9	17	18	7	10	7
ENSG00000267433	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267436	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267437	0	0	2	0	0	0	0	0	0	0	0	0	0	3
ENSG00000267439	3	0	1	0	7	2	5	0	0	0	0	4	5	5
ENSG00000267440	11	0	0	0	0	0	0	5	0	0	0	0	5	0
ENSG00000267441	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267443	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267444	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267446	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000267448	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267449	3	0	0	0	0	0	0	0	2	3	0	0	5	0
ENSG00000267450	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267452	0	0	0	0	0	0	2	0	0	0	0	2	0	0
ENSG00000267453	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267454	182	226	309	324	245	177	409	402	433	448	310	470	178	191
ENSG00000267455	1	2	1	0	0	0	4	6	0	0	0	2	0	0
ENSG00000267456	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267457	0	0	1	0	16	2	0	0	27	9	0	1	7	2
ENSG00000267458	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267461	0	0	0	0	2	0	5	1	0	4	0	0	5	2
ENSG00000267462	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000267463	0	0	11	0	0	13	5	0	6	0	0	12	0	6
ENSG00000267465	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267466	0	2	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000267467	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267469	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267470	381	289	186	218	182	165	155	200	65	206	94	64	168	186
ENSG00000267471	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267472	12	12	17	35	18	32	21	4	67	60	19	22	29	16
ENSG00000267474	475	281	462	464	422	353	232	198	227	112	47	138	441	264
ENSG00000267475	62	29	59	79	33	37	85	92	168	132	103	90	206	99
ENSG00000267476	80	22	72	101	103	59	74	80	49	55	194	157	59	62
ENSG00000267477	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267478	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000267480	0	0	0	3	5	0	0	0	4	0	2	0	8	0
ENSG00000267481	69	35	57	58	63	47	19	36	56	40	101	63	44	61
ENSG00000267482	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267484	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000267486	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267487	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSG00000267489	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267490	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000267491	12	11	8	0	21	15	8	1	0	1	20	0	10	4
ENSG00000267492	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267493	356	410	480	402	283	343	367	394	306	648	381	542	556	563
ENSG00000267496	18	1	0	2	9	5	6	22	23	7	7	31	20	30
ENSG00000267497	0	0	0	0	0	0	12	0	2	0	0	8	0	0
ENSG00000267498	4	20	37	50	14	31	19	96	81	127	83	73	152	107
ENSG00000267500	0	0	1	1	0	0	17	0	0	0	0	1	0	0
ENSG00000267501	0	0	6	5	0	10	0	2	6	16	0	1	8	0
ENSG00000267503	12	11	4	6	28	16	8	10	5	9	9	22	23	47
ENSG00000267504	0	0	0	0	0	0	0	12	0	0	46	0	4	2
ENSG00000267505	0	0	1	0	0	0	0	1	0	0	1	1	0	0
ENSG00000267506	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267507	0	14	0	13	12	16	6	1	0	0	0	0	0	1
ENSG00000267508	2	9	49	63	14	27	12	40	2	10	0	0	54	83
ENSG00000267509	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267510	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267511	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267512	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267513	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267515	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267517	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267518	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000267519	26702	19809	21824	15959	11290	15698	14594	20832	14227	22556	25473	26247	23402	23744
ENSG00000267520	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267521	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267522	2	1	0	0	0	0	2	1	0	1	7	0	0	4
ENSG00000267523	37	25	24	19	39	26	30	23	12	33	36	30	45	39
ENSG00000267524	10	0	0	0	2	0	0	0	0	0	0	0	4	0
ENSG00000267526	7	5	5	7	1	3	17	6	7	14	0	19	43	25
ENSG00000267529	0	0	0	0	6	0	14	5	0	0	0	5	9	3
ENSG00000267530	0	0	0	1	0	0	0	0	0	4	0	1	0	0
ENSG00000267532	1171	1226	1326	1155	1213	1240	1465	1904	1371	2309	2730	2262	2502	2231
ENSG00000267533	29	18	12	7	17	22	89	38	14	16	27	66	65	54
ENSG00000267534	110	58	177	91	102	75	192	237	229	278	229	236	251	199
ENSG00000267535	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSG00000267537	0	0	8	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267541	22	12	30	30	16	10	42	26	20	42	64	50	45	51
ENSG00000267543	1	7	0	0	10	14	1	6	0	3	2	0	4	0
ENSG00000267544	9	8	18	1	11	12	24	12	30	37	23	16	46	59
ENSG00000267546	33	15	35	19	9	29	8	21	47	116	56	24	45	59
ENSG00000267547	91	33	87	58	24	20	26	19	9	41	22	20	16	25
ENSG00000267549	39	19	1	17	14	48	4	13	17	40	16	27	53	20
ENSG00000267550	1	0	0	3	0	11	1	0	0	1	13	8	1	0
ENSG00000267551	7	3	5	8	48	8	3	5	2	17	19	0	0	2
ENSG00000267552	0	6	2	0	0	4	0	0	0	0	0	0	2	0
ENSG00000267554	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267555	0	0	0	2	0	0	0	0	0	0	0	0	1	0
ENSG00000267557	30	6	31	5	8	3	43	13	1	9	3	15	16	22
ENSG00000267558	0	0	0	0	0	0	0	0	1	0	1	1	1	0
ENSG00000267559	0	1	0	0	1	0	1	0	0	0	0	1	0	2
ENSG00000267560	47	4	31	10	31	15	40	13	32	0	14	3	54	25
ENSG00000267561	0	4	1	0	0	3	0	6	0	0	0	0	0	0
ENSG00000267563	0	0	0	0	2	0	2	0	0	0	0	2	14	0
ENSG00000267564	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267565	9	0	1	11	20	9	7	2	0	12	5	4	2	9
ENSG00000267567	0	0	7	2	0	0	6	0	0	0	14	0	8	0
ENSG00000267568	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267570	36	46	78	9	22	11	28	28	4	17	6	0	25	22
ENSG00000267571	21	38	63	32	56	51	32	57	37	27	24	24	59	42
ENSG00000267573	0	0	20	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267574	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267575	87	226	224	101	141	157	225	207	220	119	224	289	206	209
ENSG00000267576	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267577	0	2	9	0	4	0	16	9	2	0	2	9	8	15
ENSG00000267579	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267580	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267581	4	0	0	0	0	0	1	0	0	0	0	0	0	1
ENSG00000267582	67	42	42	46	26	61	77	141	38	119	103	82	91	107
ENSG00000267583	7	6	0	0	0	2	0	15	4	1	4	2	3	6
ENSG00000267585	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267586	3	0	0	7	6	0	5	3	0	0	6	2	28	13
ENSG00000267587	7	2	16	2	10	7	2	12	3	9	5	19	31	8
ENSG00000267589	22	4	5	1	1	3	5	4	3	7	9	6	0	4
ENSG00000267590	4	5	0	0	0	0	2	0	0	2	0	9	0	0
ENSG00000267591	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267592	18	2	14	12	11	9	10	10	4	6	19	22	30	23
ENSG00000267593	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267594	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267595	11	1	5	20	8	12	7	14	6	7	3	13	15	10
ENSG00000267597	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267598	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267599	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267601	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267603	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267604	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267605	10	22	7	11	1	6	14	16	40	75	4	2	13	8
ENSG00000267606	0	0	0	1	0	0	5	0	0	0	0	7	0	1
ENSG00000267607	3	1	24	6	8	8	3	2	0	7	5	2	3	4
ENSG00000267609	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267610	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267611	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267612	2	2	2	11	12	3	0	0	0	7	5	0	9	0
ENSG00000267614	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267615	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267617	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267618	6	3	7	0	2	1	0	0	0	0	0	0	0	0
ENSG00000267620	1	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267623	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267624	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267625	1	1	0	0	1	0	0	0	0	0	0	2	0	0
ENSG00000267626	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267627	10	0	5	0	1	2	11	0	0	0	0	33	8	1
ENSG00000267628	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267629	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267630	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267631	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267632	0	0	0	0	0	0	2	0	0	0	1	2	1	0
ENSG00000267633	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267634	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ENSG00000267636	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267638	8	6	8	0	8	4	7	4	11	13	22	1	24	23
ENSG00000267640	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267641	6	0	10	4	0	4	5	6	1	0	0	0	0	2
ENSG00000267642	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267643	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267644	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267645	23	33	35	34	24	42	0	0	0	0	0	0	0	0
ENSG00000267646	0	0	8	0	0	0	0	0	0	0	0	0	3	4
ENSG00000267647	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000267648	8	2	15	11	18	10	3	0	1	23	0	6	3	4
ENSG00000267649	69	16	29	6	13	19	3	15	19	9	17	27	40	35
ENSG00000267650	0	0	2	0	0	0	0	0	0	0	0	0	9	0
ENSG00000267651	24	5	1	3	0	5	10	13	0	0	24	43	16	13
ENSG00000267652	1	0	0	0	0	1	0	2	0	2	0	2	0	2
ENSG00000267653	8	0	0	0	10	0	3	2	0	0	0	0	0	1
ENSG00000267655	132	49	37	76	41	54	45	60	51	85	171	133	84	77
ENSG00000267656	0	0	0	0	0	0	9	6	0	0	0	2	4	0
ENSG00000267658	24	38	13	17	14	27	24	29	12	34	36	23	28	35
ENSG00000267659	0	0	0	0	1	0	1	8	0	0	0	0	0	0
ENSG00000267661	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267662	0	1	0	3	0	4	2	2	0	0	0	1	0	1
ENSG00000267663	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267664	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267665	0	0	0	0	0	0	0	5	0	0	8	0	0	0
ENSG00000267666	6	0	12	3	11	16	2	3	40	0	8	2	31	18
ENSG00000267669	13	6	1	6	5	24	3	20	5	0	8	16	14	11
ENSG00000267670	0	1	0	0	1	0	0	1	0	0	1	1	1	1
ENSG00000267672	292	152	135	94	360	304	44	114	77	207	245	150	366	367
ENSG00000267673	16	12	31	5	6	7	17	10	19	16	12	20	5	18
ENSG00000267674	0	0	0	0	2	0	1	0	0	0	0	0	0	0
ENSG00000267675	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267676	1	5	2	0	0	0	1	5	0	0	0	6	3	4
ENSG00000267677	0	0	3	0	6	0	0	3	0	0	0	0	2	0
ENSG00000267678	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267679	3	4	2	2	6	6	7	18	4	23	17	10	20	6
ENSG00000267680	3101	2322	2544	2894	2148	2387	2245	1818	1636	2348	3118	2326	3720	3055
ENSG00000267681	0	2	3	7	0	0	2	1	0	0	1	1	0	2
ENSG00000267682	13	11	22	39	19	6	12	29	2	28	0	19	23	3
ENSG00000267683	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267685	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267686	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000267687	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267688	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267689	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267690	0	0	4	0	6	0	0	0	0	0	4	0	0	0
ENSG00000267691	1	0	0	0	0	1	16	4	28	0	14	0	1	2
ENSG00000267692	5	3	3	4	10	5	2	4	4	0	1	11	5	5
ENSG00000267693	0	0	0	1	0	0	0	0	0	0	0	0	0	4
ENSG00000267694	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267695	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267696	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267698	24	28	26	26	13	20	20	18	14	15	18	40	55	39
ENSG00000267699	3	9	16	6	10	6	0	0	0	0	0	0	0	0
ENSG00000267703	8	2	7	13	2	12	19	14	12	1	17	2	38	20
ENSG00000267704	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267705	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267706	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267707	0	0	3	0	2	0	2	0	0	2	0	0	0	3
ENSG00000267708	7	11	12	8	11	9	4	2	2	8	7	4	17	4
ENSG00000267709	0	0	1	0	2	0	0	0	0	0	0	6	0	0
ENSG00000267710	14	25	20	23	17	20	88	65	32	105	16	28	127	69
ENSG00000267711	0	3	13	2	12	6	3	3	0	13	47	0	2	4
ENSG00000267712	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267713	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267714	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000267716	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267717	42	75	60	70	148	58	75	94	53	84	86	66	77	85
ENSG00000267719	4	9	0	0	0	9	2	0	4	18	3	4	2	1
ENSG00000267722	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267723	1	2	7	0	3	0	10	0	4	1	14	5	11	4
ENSG00000267724	88	26	79	26	57	61	100	28	0	0	23	27	98	41
